year,won,lose
1956,Spain,France
1957,Spain,Italy
1958,Spain,Italy
1959,Spain,France
1960,Spain,Germany
1961,Portugal,Spain
1962,Portugal,Spain
1963,Italy,Portugal
1964,Italy,Spain
1965,Italy,Portugal
1966,Spain,Yugoslavia
1967,Scotland,Italy
1968,England,Portugal
1969,Italy,Netherlands
1970,Netherlands,Scotland
1971,Netherlands,Greece
1972,Netherlands,Italy
1973,Netherlands,Italy
1974,Germany,Spain
1975,Germany,England
1976,Germany,France
1977,England,Germany
1978,England,Belgium
1979,England,Sweden
1980,England,Germany
1981,England,Spain
1982,England,Germany
1983,Germany,Italy
1984,England,Italy
1985,Italy,England
1986,Romania,Spain
1987,Portugal,Germany
1988,Netherlands,Portugal
1989,Italy,Romania
1990,Italy,Portugal
1991,Yugoslavia,France
1992,Spain,Italy
1993,France,Italy
1994,Italy,Spain
1995,Netherlands,Italy
1996,Italy,Netherlands
1997,Germany,Italy
1998,Spain,Italy
1999,England,Germany
2000,Spain,Spain
2001,Germany,Spain
2002,Spain,Germany
2003,Italy,Italy
2004,Portugal,France
2005,England,Italy
2006,Spain,England
2007,Italy,England
2008,England,England
2009,Spain,England
2010,Italy,Germany
2011,Spain,England
2012,England,Germany
2013,Germany,Germany
2014,Spain,Spain
2015,Spain,Italy
2016,Spain,Spain
2017,Spain,Italy
2018,Spain,England
2019,England,England
2020,Germany,France
2021,England,England
2022,Spain,England
2023,England,Italy
